plot,USDA_symbol,plant_number,height,width,length,date
non_plot,LOPE,7,33,19,23,5/10/17
non_plot,LOPE,8,38,10,8,5/10/17
non_plot,CAPY2,1,46,16,14,5/11/17
non_plot,CAPY2,2,67,20,22,5/11/17
non_plot,CAPY2,3,87,30,19,5/11/17
non_plot,CAPY2,4,61,24,14,5/11/17
non_plot,CAPY2,5,61,23,12,5/11/17
non_plot,CAPY2,5.1,58,19,20,5/11/17
non_plot,CAPY2,6,65,24,18,5/11/17
non_plot,CAPY2,7,56,20,18,5/11/17
non_plot,CAPY2,8,94,20,23,5/11/17
non_plot,STPU2,1,81,19,16,5/11/17
non_plot,STPU2,2,87,21,15,5/11/17
non_plot,STPU2,4,71,26,17,5/11/17
non_plot,STPU2,5,49,16,11,5/11/17
non_plot,STPU2,3,89,24,21,5/11/17
non_plot,STPU2,6,83,40,22,5/11/17
non_plot,STPU2,7,93,22,21,5/11/17
non_plot,STPU2,8,85,10,34,5/11/17
non_plot,CACO35,1,5,18,16,5/12/17
non_plot,CACO35,2,7,20,19,5/12/17
non_plot,CACO35,3,6,10,14,5/12/17
non_plot,CACO35,4,5,12,12,5/12/17
non_plot,CACO35,5,5,12,12,5/12/17
non_plot,CACO35,6,9,16,13,5/12/17
non_plot,CACO35,7,11,19,8,5/12/17
non_plot,CACO35,8,6,11,11,5/12/17
non_plot,CHPO3,1,28,44,27,5/12/17
non_plot,CHPO3,2,40,30,9,5/12/17
non_plot,CHPO3,3,25,22,10,5/12/17
non_plot,CHPO3,4,24,24,27,5/12/17
non_plot,CHPO3,5,29,8,30,5/12/17
non_plot,CHPO3,6,24,50,73,5/12/17
non_plot,CHPO3,7,31,23,16,5/12/17
non_plot,CHPO3,8,62,40,30,5/12/17
non_plot,CRSE11,1,2,9,9,5/12/17
non_plot,CRSE11,2,2,5,5,5/12/17
non_plot,CRSE11,3,5,14,12,5/12/17
non_plot,CRSE11,4,5,12,11,5/12/17
non_plot,CRSE11,5,2,6,5,5/12/17
non_plot,CRSE11,6,2,8,7,5/12/17
non_plot,CRSE11,7,6,6,6,5/12/17
non_plot,CRSE11,8,3,7,7,5/12/17
non_plot,LARA,1,26,5,7,5/12/17
non_plot,LARA,2,25,7,7,5/12/17
non_plot,LARA,3,25,6,5,5/12/17
non_plot,LARA,4,21,4,3,5/12/17
non_plot,LARA,5,22,7,5,5/12/17
non_plot,LARA,6,33,8,7,5/12/17
non_plot,LARA,7,27,4,5,5/12/17
non_plot,LARA,8,20,4,4,5/12/17
non_plot,SIGA,1,25,10,5,5/12/17
non_plot,SIGA,5,37,13,9,5/12/17
non_plot,SIGA,2,38,5,16,5/12/17
non_plot,SIGA,3,42,28,36,5/12/17
non_plot,SIGA,4,41,25,27,5/12/17
non_plot,SIGA,6,43,20,10,5/12/17
non_plot,SIGA,7,38,45,42,5/12/17
non_plot,SIGA,8,19,3,3,5/12/17
comp,CHPA8 ,1,10,23,26.5,5/17/17
comp,CHPA8 ,2,18,30,24,5/17/17
comp,CHPA8 ,3,19,17,8,5/17/17
comp,CHPA8 ,4,16,9,7,5/17/17
comp,CHPA8 ,5,12,8,8,5/17/17
comp,CHPA8 ,6,10,14,14,5/17/17
comp,CHPA8 ,7,6,7,6,5/17/17
comp,CHPA8 ,8,9,9,8,5/17/17
non_plot,GEDI,1,19,11,6,4/23/19
non_plot,GEDI,2,21,11,6,4/23/19
non_plot,GEDI,3,16,12,7,4/23/19
non_plot,GEDI,4,20,12,10,4/23/19
non_plot,GEDI,5,12,12,11,4/23/19
non_plot,LUBI,1,32,25,23,4/23/19
non_plot,LUBI,2,31,10,9,4/23/19
non_plot,LUBI,3,30,10,12,4/23/19
non_plot,LUBI,4,14,11,7,4/23/19
non_plot,LUBI,5,20,11,12,4/23/19
non_plot,LUBI,6,17,7,7,4/23/19
non_plot,ERGR5,1,21,4,3,6/29/19
non_plot,ERGR5,2,24,4,4,6/29/19
non_plot,ERGR5,3,21,4,3,6/29/19
non_plot,ERGR5,4,29,5,4,6/29/19
non_plot,ERGR5,5,25,3,3,6/29/19
non_plot,ERGR5,6,21,3,3,6/29/19
non_plot,TRLA4,1,17,11,10,6/29/19
non_plot,TRLA4,2,12,7,9,6/29/19
non_plot,TRLA4,3,15,10,6,6/29/19
non_plot,TRLA4,4,17,7,8,6/29/19
non_plot,TRLA4,5,15,6,5,6/29/19
non_plot,TRLA4,6,26,13,15,6/29/19
non_plot,TRLA4,7,19,5,5,6/29/19
non_plot,TRLA4,8,13,6,5,6/29/19
UCLA,STME2,1,6,13,9,12/2/19
UCLA,STME2,2,8,13,9,12/2/19
UCLA,STME2,3,5,14,8,12/2/19
UCLA,STME2,4,4,11,10,12/2/19
UCLA,STME2,5,8,13,8,12/2/19
UCLA,STME2,6,9,12,7,12/2/19
UCLA,STME2,7,7,10,4,12/2/19
UCLA,STME2,8,9,17,7,12/2/19
UCLA,GIACM2,1,5,19,16,12/3/19
UCLA,GIACM2,2,7,17,13,12/3/19
UCLA,GIACM2,3,10,18,15,12/3/19
UCLA,GIACM2,4,9,19,13,12/3/19
UCLA,GIACM2,5,10,21,18,12/3/19
UCLA,GIACM2,6,8,14,15,12/3/19
UCLA,GIACM2,7,8,13,9,12/3/19
UCLA,GIACM2,8,9,12,14,12/3/19
UCLA,MIEL,1,13,20,21,12/4/19
UCLA,MIEL,2,11,21,17,12/4/19
UCLA,MIEL,3,12,22,17,12/4/19
UCLA,MIEL,4,10,23,24,12/4/19
UCLA,MIEL,5,9,15,12,12/4/19
UCLA,MIEL,6,9,11,7,12/4/19
UCLA,MIEL,7,13,17,17,12/4/19
UCLA,CRCO34,1,4,2,2,12/5/19
UCLA,CRCO34,2,3,2,3,12/5/19
UCLA,CRCO34,3,4,3,3,12/5/19
UCLA,CRCO34,4,3,2,3,12/5/19
UCLA,CRCO34,5,3,2,1,12/5/19
UCLA,CRCO34,6,2,3,2,12/5/19
UCLA,CRCO34,7,3,2,3,12/5/19
UCLA,CRCO34,8,3,2,2,12/5/19
UCLA,MIDO,1,9,15,10,12/6/19
UCLA,MIDO,2,10,13,12,12/6/19
UCLA,MIDO,3,13,14,17,12/6/19
UCLA,MIDO,4,11,11,11,12/6/19
UCLA,MIDO,5,9,10,11,12/6/19
UCLA,MIDO,6,9,16,20,12/6/19
UCLA,MIDO,7,14,13,10,12/6/19
UCLA,MIDO,8,13,13,14,12/6/19
UCLA,AGHE2,1,8,22,19,12/9/19
UCLA,AGHE2,2,6,13,13,12/9/19
UCLA,AGHE2,3,8,15,12,12/9/19
UCLA,AGHE2,4,7,18,17,12/9/19
UCLA,AGHE2,5,8,16,18,12/9/19
UCLA,AGHE2,6,7,11,11,12/9/19
UCLA,AGHE2,7,9,10,10,12/9/19
UCLA,AGHE2,8,7,13,13,12/9/19
UCLA,LOGA2,1,3,5,3,12/9/19
UCLA,LOGA2,2,3,4,5,12/9/19
UCLA,LOGA2,3,3,4,5,12/9/19
UCLA,LOGA2,4,3,6,5,12/9/19
UCLA,LOGA2,5,3,5,5,12/9/19
UCLA,LOGA2,6,4,4,5,12/9/19
UCLA,LOGA2,7,3,6,6,12/9/19
UCLA,LOGA2,8,2,4,5,12/9/19
UCLA,ACMO2,1,10,25,28,12/12/19
UCLA,ACMO2,2,11,29,27,12/12/19
UCLA,ACMO2,3,17,26,20,12/12/19
UCLA,ACMO2,4,11,19,28,12/12/19
UCLA,ACMO2,5,12,24,29,12/12/19
UCLA,ACMO2,6,11,21,23,12/12/19
UCLA,ACMO2,7,12,21,21,12/12/19
UCLA,ACMO2,8,13,22,20,12/12/19
UCLA,LOGA2,1,5,6,5,1/7/20
UCLA,LOGA2,2,5,7,7,1/7/20
UCLA,LOGA2,3,5,8,6,1/7/20
UCLA,LOGA2,4,6,6,7,1/7/20
UCLA,LOGA2,5,7,9,8,1/7/20
UCLA,LOGA2,6,6,6,5,1/7/20
UCLA,LOGA2,7,5,6,7,1/7/20
UCLA,LOGA2,8,4,8,8,1/7/20
UCLA,CLPE,1,4,14,13,1/9/20
UCLA,CLPE,2,7,14,13,1/9/20
UCLA,CLPE,3,8,13,15,1/9/20
UCLA,CLPE,4,6,8,7,1/9/20
UCLA,CLPE,5,4,7,8,1/9/20
UCLA,CLPE,6,7,15,14,1/9/20
UCLA,CLPE,7,7,10,9,1/9/20
UCLA,CLPE,8,5,12,11,1/9/20
UCLA,CLPE,9,4,10,14,1/9/20
UCLA,LOCA19,1,13,6,5,1/9/20
UCLA,LOCA19,2,13,7,6,1/9/20
UCLA,LOCA19,3,11,6,5,1/9/20
UCLA,LOCA19,4,12,7,7,1/9/20
UCLA,LOCA19,5,5,3,3,1/9/20
UCLA,ANFI3,1,10,12,11,1/9/20
UCLA,MIDO3,1,12,9,9,1/31/20
UCLA,MIDO3,2,13,7,6,1/31/20
UCLA,MIDO3,3,11,6,6,1/31/20
UCLA,MIDO3,4,10,8,9,1/31/20
UCLA,MIDO3,5,17,11,8,1/31/20
UCLA,MIDO3,6,9,2,4,1/31/20
UCLA,MIDO3,7,9,7,6,1/31/20
UCLA,MIDO3,8,8,6,4,1/31/20
UCLA,ANFI3,2,4,5,4,2/4/20
UCLA,ANFI3,3,5,12,8,2/4/20
UCLA,ANFI3,4,7,7,4,2/4/20
UCLA,ANFI3,5,4,7,4,2/4/20
UCLA,RILE2,1,10,9,8,2/4/20
UCLA,RILE2,2,10,7,8,2/4/20
UCLA,RILE2,3,6,7,6,2/4/20
UCLA,RILE2,4,3,8,4,2/4/20
UCLA,RILE2,5,6,3,4,2/4/20
UCLA,RILE2,6,5,8,8,2/4/20
UCLA,RILE2,7,4,5,6,2/4/20
UCLA,RILE2,8,4,3,1,2/4/20
