plot,year,scan_date,USDA_symbol,all,plant,leaf,count,total_area,petiole,file,notes
non_plot,2017,2017-03-03,THLA3,FALSE,24,2,1,0.787,FALSE,data-raw/all-scans/scans-03032017/THLA_leaf_area.xls,
non_plot,2017,2017-03-03,THLA3,FALSE,24,3,1,0.417,FALSE,data-raw/all-scans/scans-03032017/THLA_leaf_area.xls,
non_plot,2017,2017-03-03,THLA3,TRUE,24,NA,12,3.19,FALSE,data-raw/all-scans/scans-03032017/THLA_leaf_area.xls,
non_plot,2017,2017-04-05,LOST4,TRUE,1,NA,66,15.612,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,1,1,1,0.79,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,1,2,1,0.886,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,1,3,1,0.646,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,TRUE,2,NA,76,16.395,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,2,1,3,0.669,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,2,2,3,0.75,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,2,3,4,0.591,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,TRUE,3,NA,63,18.797,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,3,1,1,0.7,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
