sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,n_leaves,date_collected,notes
,non_plot,AGHE2,1,3,,,0.2003,,0.0211,,1,,
,non_plot,AGHE2,1,lvs,,,,,0.1986,,1,,
,non_plot,AGHE2,1,stem,,,,,0.0614,,1,,
,non_plot,AGHE2,2,1,,,0.1304,,0.0195,,1,,
,non_plot,AGHE2,2,2,,,0.1328,,0.0208,,1,,
,non_plot,AGHE2,2,3,,,0.1142,,0.0164,,1,,
,non_plot,AGHE2,2,lvs,,,,,0.1293,,1,,
,non_plot,AGHE2,2,stem,,,,,0.0267,,1,,
,non_plot,AGHE2,3,1,,,0.1024,,0.0126,,1,,
,non_plot,AGHE2,3,2,,,0.1127,,0.0128,,1,,
,non_plot,AGHE2,3,3,,,0.0876,,0.0111,,1,,
,non_plot,AGHE2,3,lvs,,,,,0.1357,,1,,
,non_plot,AGHE2,3,stem,,,,,0.0316,,1,,
,non_plot,AGHE2,4,1,,,0.1513,,0.0136,,1,,
,non_plot,AGHE2,4,2,,,0.1386,,0.0136,,1,,
,non_plot,AGHE2,4,3,,,0.1841,,0.0167,,1,,
,non_plot,AGHE2,4,lvs,,,,,0.1646,,1,,
,non_plot,AGHE2,4,stem,,,,,0.0246,,1,,
,non_plot,AGHE2,5,1,,,0.1308,,0.0102,,1,,
,non_plot,AGHE2,5,2,,,0.2018,,0.0171,,1,,
,non_plot,AGHE2,5,3,,,0.1836,,0.0161,,1,,
,non_plot,AGHE2,5,lvs,,,,,0.0866,,1,,
,non_plot,AGHE2,5,stem,,,,,0.0127,,1,,
,non_plot,AGHE2,6,1,,,0.0783,,0.0069,,1,,
,non_plot,AGHE2,6,2,,,0.0854,,0.0077,,1,,
,non_plot,AGHE2,6,3,,,0.0843,,0.0074,,1,,
,non_plot,AGHE2,6,lvs,,,,,0.0659,,1,,
,non_plot,AGHE2,6,stem,,,,,0.0143,,1,,
,non_plot,AGHE2,7,1,,,0.1191,,0.0107,,1,,
,non_plot,AGHE2,7,2,,,0.1318,,0.0125,,1,,
,non_plot,AGHE2,7,3,,,0.0876,,0.0081,,1,,
,non_plot,AGHE2,7,lvs,,,,,0.0748,,1,,
,non_plot,AGHE2,7,stem,,,,,0.0144,,1,,
,non_plot,AGHE2,8,1,,,0.1155,,0.0148,,1,,
,non_plot,AGHE2,8,2,,,0.1167,,0.0143,,1,,
,non_plot,AGHE2,8,3,,,0.1156,,0.0144,,1,,
,non_plot,AGHE2,8,lvs,,,,,0.0683,,1,,
,non_plot,AGHE2,8,stem,,,,,0.0154,,1,,
,non_plot,MIDO,1,1,,,0.1098,,0.0122,,1,,
,non_plot,MIDO,1,2,,,0.148,,0.0165,,1,,
,non_plot,MIDO,1,3,,,0.1319,,0.0137,,1,,
,non_plot,MIDO,1,lvs,,,,,0.0736,,1,,
,non_plot,MIDO,1,stem,,,,,0.0218,,1,,
,non_plot,MIDO,1,dead lvs,,,,,0.0147,,1,,
,non_plot,MIDO,2,1,,,0.143,,0.0129,,1,,
,non_plot,MIDO,2,2,,,0.1216,,0.0112,,1,,
,non_plot,MIDO,2,3,,,0.1406,,,,1,,missing leaf
,non_plot,MIDO,2,3,,,0.1389,,0.0128,,1,,
,non_plot,MIDO,2,dead lvs,,,,,0.0059,,1,,
,non_plot,MIDO,2,lvs,,,,,0.0942,,1,,
,non_plot,MIDO,2,stem,,,,,0.0072,,1,,
,non_plot,MIDO,3,1,,,0.1794,,0.0162,,1,,
,non_plot,MIDO,3,2,,,0.1904,,0.0179,,1,,
,non_plot,MIDO,3,3,,,0.167,,0.0173,,1,,
,non_plot,MIDO,3,lvs,,,,,0.1124,,1,,
,non_plot,MIDO,3,stem,,,,,0.0127,,1,,
,non_plot,MIDO,4,1,,,0.1443,,0.0161,,1,,
,non_plot,MIDO,4,2,,,0.1444,,0.0175,,1,,
,non_plot,MIDO,4,3,,,0.1165,,0.0123,,1,,
,non_plot,MIDO,4,dead lvs,,,,,0.003,,1,,
,non_plot,MIDO,4,lvs,,,,,0.1046,,1,,
,non_plot,MIDO,4,stem,,,,,0.0095,,1,,
,non_plot,MIDO,5,1,,,0.1094,,0.0114,,1,,
,non_plot,MIDO,5,2,,,0.1184,,0.0122,,1,,
,non_plot,MIDO,5,3,,,0.1122,,0.0117,,1,,
,non_plot,MIDO,5,dead lvs,,,,,0.007,,1,,
,non_plot,MIDO,5,lvs,,,,,0.0814,,1,,
