plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,dry_mass_petiole_g,date_collected,height,Width_1,Width_2,notes
cage_l,heco,1,1,13.6,1.3,0.374,,,,,,32,28,28,using half of plant
cage_l,heco,1,2,13.8,1.5,0.4584,,,,,,,,,
cage_l,heco,1,3,10.6,1.1,0.1776,,,,,,,,,
cage_l,ceme,1,1,3.5,0.8,0.06234,,,,,,24,450,36,
cage_l,ceme,1,2,3,0.5,0.03593,,,,,,,,,
cage_l,ceme,1,3,3,0.6,0.03581,,,,,,,,,
cage_l,ceme,2,1,3.6,0.8,0.03736,,,,,,22,5,4,
cage_l,ceme,2,2,2.6,0.6,0.02983,,,,,,,,,
cage_l,ceme,2,3,3.8,0.6,0.03456,,,,,,,,,
cage_l,ceme,3,1,5.7,1.1,0.14243,,,,,,22,38,31,using quarter of plant
cage_l,ceme,3,2,6.1,1.6,0.2378,,,,,,,,,
cage_l,ceme,3,3,4.3,1,0.09598,,,,,,,,,
758,eupe,1,1,0.6,0.4,0.00185,,,,,,NA,NA,NA,
758,eupe,1,2,0.7,0.4,0.00198,,,,,,,,,
758,eupe,1,3,0.5,0.3,0.00114,,,,,,,,,
758,eupe,5,1,2.3,0.3,0.00434,,,,,,34,6,4,
758,eupe,5,2,2.3,0.2,0.00444,,,,,,,,,
758,eupe,5,3,3,0.2,0.00876,,,,,,,,,
749,ceme,1,1,3.6,0.9,0.05162,,,,,,33,32,32,using half of plant
749,ceme,1,2,3.3,0.9,0.04177,,,,,,,,,
749,ceme,1,3,2.8,0.7,0.02542,,,,,,,,,
749,ceme,2,1,4.5,1.1,0.10108,,,,,,34,38,30,
749,ceme,2,2,3.5,0.8,0.04565,,,,,,,,,
749,ceme,2,3,3.3,0.8,0.03807,,,,,,,,,
749,ceme,3,1,2.8,0.4,0.02819,,,,,,NA,NA,NA,using half of plant
749,ceme,3,2,2.8,0.5,0.03163,,,,,,,,,
749,ceme,3,3,2.3,0.5,0.02899,,,,,,,,,
749,ceme,4,1,3.1,0.7,0.03812,,,,,,NA,NA,NA,herbivory on plant; using quarter of plant
749,ceme,4,2,2.7,0.5,0.02457,,,,,,,,,
749,ceme,4,3,2.8,0.6,0.02815,,,,,,,,,
749,ceme,5,1,3.5,0.6,0.04216,,,,,,,,,
749,ceme,5,2,2.8,0.6,0.03045,,,,,,,,,
749,ceme,5,3,3.5,0.5,0.04441,,,,,,,,,
