USDA_symbol,leaf_size(cm2),SLA (g/cm2),LDMC(mg/g),LAI (LA/canopy_area),LAR(cm2/g),seed_mass(g),max_height(cm),SRL(m/g),relative_spread(lateral/height),phenology (DOY 50% fruit),foliar_N,CN_ratio,d13C,d15N,notes,seed_mass_data_source,max_height_data_source
LARA,2.354833333333333,153.42772978911054,209.77175786775373,1.190606122345264,72.41303416401202,4.2666666666666667e-4,30,51.04535282258064,0.2205128205128205,NA,1.68,22.898809523809526,-31.24,1.5,,2017,2017
LASE,14.367826086956521,282.1572024917749,143.1056460426418,0.9226424136923878,280.6885311956633,4.17e-4,100,177.00216984192278,0.6178766965723488,NA,3.6775,12.155880665974953,-28.5775,2.1900000000000004,,MOLINARI,MOLINARI
LEBI4,1.7584583333333332,194.24952033943296,133.96279421612985,NaN,65.93610904717012,0.0012266666666666667,41.75,79.46222143590239,NaN,86,1.82,23.71978021978022,-30.54,0.13,LA with petiole,2017,2017
LEPA51,0.205625,258.7552017844822,197.15220342786827,0.8868334477612481,58.79569554450347,3.6e-4,14.049999999999997,119.58436043205161,0.16339840714840714,98,2.11,19.55924170616114,-29.47,-1.65,,2017,2017
LOPE,2.7689565217391303,216.46002382539115,274.8050041750704,0.2166682433272814,31.480992256038675,0.00212,80.24999999999999,65.97407155049636,0.596547279474911,NA,1.74,22.068965517241377,-30.65,4.65,,2017,2017
LOST4,0.12283519345238095,119.61216844483309,282.07941302655814,0.02310850502571064,4.296036100559359,0.00334,10,32.415545048815446,1.4601934523809523,88,2.6,15.323076923076924,-27.66,-2.14,,2017,2017
LUBI,1.8162222222222222,187.25037992576074,197.8205057663792,NA,NA,0.006136666666666667,23.19999999999999,NA,NA,90,3.67,11.452316076294279,-29.47,-0.86,,2017,2017
MIDO,3.248291666666667,264.4291732676915,164.71526551917583,2.118641246751536,112.79014013327216,0.0021133333333333334,23,74.50230468837545,0.2094268082294735,103,2.48,16.540322580645164,-29.7,7.75,,2017,2017
SIGA,1.329,171.942196298191,177.4227909208559,0.26206097259994277,28.711585395972556,3.17e-4,25,76.64977302073244,0.49014162229860647,146,1.91,20.539267015706805,-29.05,-0.27,,MOLINARI,MOLINARI
STPU2,5.89375,112.42034377030038,452.8509836754931,0.24763915094987307,16.12096031224377,0.004030000000000001,119.29999999999998,18.922766487344582,0.26469779121357745,NA,1.66,22.012048192771086,-28.29,0.84,,MOLINARI,2017
