slice,alias,plant_number,leaf_number,all,count,total_area,scan_date,notes,USDA_symbol,petiole,plot
vulpia_myuros-p1-all,VULPIA,1,NA,TRUE,17,5.648,2017-04-04,,FEMY2,FALSE,non_plot
vulpia_myuros-p1-l1,VULPIA,1,1,FALSE,1,0.575,2017-04-04,,FEMY2,FALSE,non_plot
vulpia_myuros-p1-l2,VULPIA,1,2,FALSE,2,1.313,2017-04-04,,FEMY2,FALSE,non_plot
vulpia_myuros-p1-l3,VULPIA,1,3,FALSE,1,0.853,2017-04-04,,FEMY2,FALSE,non_plot
vulpia_myuros-p2-all,VULPIA,2,NA,TRUE,20,5.565,2017-04-04,,FEMY2,FALSE,non_plot
vulpia_myuros-p2-l1,VULPIA,2,1,FALSE,2,0.787,2017-04-04,,FEMY2,FALSE,non_plot
vulpia_myuros-p2-l2,VULPIA,2,2,FALSE,1,0.479,2017-04-04,,FEMY2,FALSE,non_plot
vulpia_myuros-p2-l3,VULPIA,2,3,FALSE,1,0.283,2017-04-04,,FEMY2,FALSE,non_plot
vulpia_myuros-p3-all,VULPIA,3,NA,TRUE,8,1.827,2017-04-04,,FEMY2,FALSE,non_plot
vulpia_myuros-p3-l1,VULPIA,3,1,FALSE,2,0.531,2017-04-04,,FEMY2,FALSE,non_plot
vulpia_myuros-p3-l2,VULPIA,3,2,FALSE,1,0.325,2017-04-04,,FEMY2,FALSE,non_plot
vulpia_myuros-p3-l3,VULPIA,3,3,FALSE,2,0.305,2017-04-04,,FEMY2,FALSE,non_plot
lost-p1-all,LOST,1,NA,TRUE,66,15.612,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p1-l1,LOST,1,1,FALSE,1,0.79,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p1-l2,LOST,1,2,FALSE,1,0.886,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p1-l3,LOST,1,3,FALSE,1,0.646,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p2-all,LOST,2,NA,TRUE,76,16.395,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p2-l1,LOST,2,1,FALSE,3,0.669,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p2-l2,LOST,2,2,FALSE,3,0.75,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p2-l3,LOST,2,3,FALSE,4,0.591,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p3-all,LOST,3,NA,TRUE,63,18.797,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p3-l1,LOST,3,1,FALSE,1,0.7,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p3-l2,LOST,3,2,FALSE,1,1.222,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p3-l3,LOST,3,3,FALSE,2,0.663,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p4-all,LOST,4,NA,TRUE,40,5.487,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p4-l1,LOST,4,1,FALSE,3,1.203,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p4-l2,LOST,4,2,FALSE,3,1.104,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p4-l3,LOST,4,3,FALSE,6,0.569,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p5-all,LOST,5,NA,TRUE,46,7.761,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p5-l1,LOST,5,1,FALSE,1,0.768,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p5-l2,LOST,5,2,FALSE,1,0.616,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p5-l3,LOST,5,3,FALSE,1,0.486,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p6-all,LOST,6,NA,TRUE,72,13.024,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p6-l1,LOST,6,1,FALSE,1,0.429,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p6-l2,LOST,6,2,FALSE,1,0.636,2017-04-05,with_petiole,LOST4,TRUE,non_plot
