species,USDA_symbol,plot,plant_number,SRL
Gilia ,GIOC,non_plot,7,6770.711538461539
Gilia,GIOC,non_plot,5,16725.5
Gilia,GIOC,non_plot,4,20366.75
Gilia,GIOC,non_plot,3,9152.467741935485
Gilia,GIOC,non_plot,2,19430.090909090908
Gilia,GIOC,non_plot,8,10058.142857142857
Gilia,GIOC,non_plot,1,54080.294117647056
Gilia,GIOC,non_plot,6,6430.658227848101
LASE,LASE,non_plot,2,7921.671428571429
LASE,LASE,non_plot,5,12918.14705882353
LARA,LARA,non_plot,8,7181.531249999999
LASE,LASE,non_plot,7,27390.3
LASE,LASE,non_plot,6,14547.784615384615
LASE,LASE,non_plot,8,25723.181818181816
AGHE,URLI5,763,5,31406
AGHE,URLI5,752,2,25398.999999999996
AGHE,URLI5,763,2,60890
AGHE,URLI5,754,1,6409.279411764706
AGHE,URLI5,751,4,11157.166666666668
AGHE,URLI5,757,3,12738.866666666667
AGHE,URLI5,757,3,12738.866666666667
AGHE,URLI5,757,4,5858.109090909091
AGHE,URLI5,763,3,13151.222222222223
AGHE,URLI5,754,2,7868.090909090908
AGHE,URLI5,752,1,61741
AGHE,URLI5,751,5,21334.222222222223
AGHE,URLI5,761,1,4676.92380952381
AGHE,URLI5,761,3,15249.533333333335
AGHE,URLI5,763,1,26157.833333333336
AGHE,URLI5,761,4,6362.391304347826
MICA,MICA,749,2,29255
MICA,MICA,760,2,3823.2631578947367
MICA,MICA,749,1,8463.716981132076
MICA,MICA,749,4,11007.60294117647
MICA,MICA,757,4,4144.360655737704
MICA,MICA,760,1,17279.800000000003
AMME,AMME,740,1,15691.944444444445
AMME,AMME,742,1,4433.465753424657
AMME,AMME,754,2,8586.589743589742
AMME,AMME,746,1,7420.956521739131
AMME,AMME,756,1,7741.298507462687
AMME,AMME,762,4,17921.88888888889
AMME,AMME,746,2,26791.92307692308
AMME,AMME,742,2,8608.176470588236
NA,URLI5,non_plot,1,NA
NA,URLI5,non_plot,5,NA
NA,URLI5,non_plot,4,NA
AGHE,URLI5,746,4,31527.75
NA,URLI5,non_plot,7,NA
AGHE,URLI5,756,2,17054.2
AGHE,URLI5,746,2,34115.555555555555
AGHE,URLI5,756,3,13988.222222222223
AGHE,URLI5,748,4,11244.499999999998
NA,URLI5,non_plot,6,NA
AGHE,URLI5,763,3,22705.777777777777
AGHE,URLI5,749,3,6420.918367346939
NA,URLI5,non_plot,8,NA
AGHE,URLI5,749,2,15007.518518518516
TOAR,TOAR,non_plot,3,4595.242105263158
TOAR,TOAR,non_plot,4,12201.362637362636
TOAR,TOAR,non_plot,5,16549.922222222223
TOAR,TOAR,non_plot,6,32450.329545454544
TOAR,TOAR,non_plot,7,13707.120567375887
TOAR,TOAR,non_plot,8,34765.66981132075
BOIN,BOIN3,non_plot,1,34498.42222222222
BOIN,BOIN3,non_plot,2,35152.49056603773
BOIN,BOIN3,non_plot,3,13303.727272727272
BOIN,BOIN3,non_plot,4,12660.316666666666
BOIN,BOIN3,non_plot,5,9301.666666666668
BOIN,BOIN3,non_plot,6,13397.763358778626
BOIN,BOIN3,non_plot,7,10538.075471698112
BOIN,BOIN3,non_plot,8,14767.067796610168
BRDI,BRDI3,non_plot,1,6170.170731707317
CHPA,CHPA8,non_plot,5,5891.0887096774195
CHPA,CHPA8,non_plot,4,5286.890243902439
CHPA,CHPA8,non_plot,2,12143.04761904762
CHPA,CHPA8,non_plot,1,4811.431034482759
CHPA,CHPA8,non_plot,3,2151.3457943925237
CHPA,CHPA8,non_plot,7,4268.2830188679245
CHPA,CHPA8,non_plot,8,7731.295774647887
CHPA,CHPA8,non_plot,6,11365.999999999998
AGHE,URLI5,749,5,20141.22807017544
AGHE,URLI5,757,2,4399.278481012658
NA,URLI5,Comp,3,NA
AGHE,URLI5,751,1,3589.2121212121215
AGHE,URLI5,751,2,6531.571428571428
AGHE,URLI5,757,5,4482.3448275862065
AGHE,URLI5,757,1,5840.4285714285725
AGHE,URLI5,761,2,5222.736842105263
SIGA,SIGA,non_plot,1,6165.803571428572
SIGA,SIGA,non_plot,2,9785.30303030303
SIGA,SIGA,non_plot,3,6224.730569948186
SIGA,SIGA,non_plot,4,6981.828897338402
SIGA,SIGA,non_plot,5,5366.921052631579
SIGA,SIGA,non_plot,6,5656.275510204082
SIGA,SIGA,non_plot,7,7313.469298245614
SIGA,SIGA,non_plot,8,13825.486486486485
NAPU,STPU2,non_plot,1,1672.7508846426042
NAPU,STPU2,non_plot,1,1667.8966737438075
NAPU,STPU2,non_plot,2,1324.0960960960958
NAPU,STPU2,non_plot,4,1034.5400890868598
NAPU,STPU2,non_plot,5,1377.7928286852589
NAPU,STPU2,non_plot,6,1592.3734590282816
NAPU,STPU2,non_plot,7,1462.658376963351
NAPU,STPU2,non_plot,8,4385.863237139272
NAPU,STPU2,non_plot,8,2512.518193224593
BRHO,BRHO2,non_plot,1,11554.085106382978
BRHO,BRHO2,non_plot,2,24586.661764705885
BRHO,BRHO2,non_plot,3,12828.140350877193
BRHO,BRHO2,non_plot,4,6765.028089887641
BRHO,BRHO2,non_plot,5,7540.657894736842
BRHO,BRHO2,non_plot,6,16690.507462686568
BRHO,BRHO2,non_plot,7,10190.99504950495
BRHO,BRHO2,non_plot,8,13593.131578947368
TRAL,TRAL5,non_plot,1,2118.7261904761904
TRAL,TRAL5,non_plot,2,1639.2704918032784
TRAL,TRAL5,non_plot,3,7515
TRAL,TRAL5,non_plot,4,2657.9324324324325
TRAL,TRAL5,non_plot,5,1547.9473684210527
TRAL,TRAL5,non_plot,6,5098.8823529411775
TRAL,TRAL5,non_plot,7,2990.815789473684
TRAL,TRAL5,non_plot,8,2237.762376237624
LARA,LARA,non_plot,1,1055.6875
LOTUS2,LOST4,non_plot,1,2022.1724137931037
LOTUS2,LOST4,non_plot,2,953.1698113207548
LOTUS2,LOST4,non_plot,3,7995.1746031746025
LOTUS2,LOST4,non_plot,5,1793.7333333333333
LOTUS2,LOST4,non_plot,6,3549.8999999999996
LOTUS2,LOST4,non_plot,7,2758.431372549019
LOTUS2,LOST4,non_plot,8,3618.2999999999997
AMME,AMME,749,5,47646.69565217391
AMME,AMME,749,5,49639.69565217391
AMME,AMME,749,4,21853.125
AMME,AMME,749,2,20302.625000000004
AMME,AMME,749,3,33835.86842105263
AMME,AMME,749,1,18112.481012658227
CEME,CEME2,757,5,7179.425925925926
