species,site,date,plot,veg,flower,fruit
Gilia ocheracerous,748,3/30/17,5,0,20,80
Gilia ocheracerous,748,3/7/17,1,100,0,0
Gilia ocheracerous,748,3/7/17,2,80,20,0
Gilia ocheracerous,748,3/7/17,3,0,100,0
Gilia ocheracerous,748,3/7/17,4,50,50,0
Gilia ocheracerous,748,3/7/17,5,100,0,0
Lactuca,740,3/30/17,1,100,0,0
Lactuca,740,3/30/17,2,100,0,0
Lactuca,740,3/30/17,3,100,0,0
Lactuca,740,3/30/17,4,100,0,0
Lactuca,740,3/30/17,5,100,0,0
Lactuca,740,3/7/17,1,100,0,0
Lactuca,740,3/7/17,2,100,0,0
Lactuca,740,3/7/17,3,100,0,0
Lactuca,740,3/7/17,4,100,0,0
Lactuca,740,3/7/17,5,100,0,0
Lactuca,741,3/29/17,1,100,0,0
Lactuca,741,3/29/17,2,100,0,0
Lactuca,741,3/29/17,3,100,0,0
Lactuca,741,3/29/17,4,100,0,0
Lactuca,741,3/29/17,5,,,
Lactuca,741,3/7/17,1,100,0,0
Lactuca,741,3/7/17,2,100,0,0
Lactuca,741,3/7/17,3,100,0,0
Lactuca,741,3/7/17,4,100,0,0
Lactuca,741,3/7/17,5,0,0,0
Leptosiphon parviflorus,743,3/29/17,1,0,0,0
Leptosiphon parviflorus,743,3/29/17,2,0,100,0
Leptosiphon parviflorus,743,3/29/17,3,10,90,0
Leptosiphon parviflorus,743,3/29/17,4,0,50,50
Leptosiphon parviflorus,743,3/29/17,5,0,100,0
Leptosiphon parviflorus,743,3/6/17,1,100,0,0
Leptosiphon parviflorus,743,3/6/17,2,100,0,0
Leptosiphon parviflorus,743,3/6/17,3,100,0,0
Leptosiphon parviflorus,743,3/6/17,4,100,0,0
Leptosiphon parviflorus,743,3/6/17,5,100,0,0
Leptosiphon parviflorus,751,3/30/17,1,0,90,10
Leptosiphon parviflorus,751,3/30/17,2,0,100,0
Leptosiphon parviflorus,751,3/30/17,3,5,70,25
Leptosiphon parviflorus,751,3/30/17,4,0,0,0
Leptosiphon parviflorus,751,3/30/17,5,0,70,30
Leptosiphon parviflorus,751,3/7/17,1,100,0,0
Leptosiphon parviflorus,751,3/7/17,2,100,0,0
Leptosiphon parviflorus,751,3/7/17,3,100,0,0
Leptosiphon parviflorus,751,3/7/17,4,0,0,0
Leptosiphon parviflorus,751,3/7/17,5,100,0,0
Leptosyne,748,3/30/17,1,0,50,50
Leptosyne,748,3/30/17,2,0,50,50
Leptosyne,748,3/30/17,3,0,20,80
Leptosyne,748,3/30/17,4,0,0,100
Leptosyne,748,3/30/17,5,0,0,100
Leptosyne,748,3/7/17,1,50,50,0
Leptosyne,748,3/7/17,2,40,60,0
Leptosyne,748,3/7/17,3,100,0,0
Leptosyne,748,3/7/17,4,0,100,0
Leptosyne,748,3/7/17,5,100,0,0
Lotus strigosus,748,3/30/17,1,0,0,100
Lotus strigosus,748,3/30/17,2,0,0,100
Lotus strigosus,748,3/30/17,3,0,0,100
Lotus strigosus,748,3/30/17,4,0,0,100
Lotus strigosus,748,3/30/17,5,0,0,100
Lotus strigosus,748,3/7/17,1,100,0,0
Lotus strigosus,748,3/7/17,2,90,10,0
Lotus strigosus,748,3/7/17,3,90,10,0
Lotus strigosus,748,3/7/17,4,100,0,0
Lotus strigosus,748,3/7/17,5,70,30,0
Lupinus bicolor,756,3/31/17,1,10,10,80
Lupinus bicolor,756,3/31/17,2,0,75,25
Lupinus bicolor,756,3/31/17,3,0,50,50
Lupinus bicolor,756,3/31/17,4,0,0,100
Lupinus bicolor,756,3/31/17,5,20,0,80
Lupinus bicolor,756,3/2/17,1,100,0,0
Lupinus bicolor,756,3/2/17,2,100,0,0
Lupinus bicolor,756,3/2/17,3,100,0,0
Lupinus bicolor,756,3/2/17,4,100,0,0
Lupinus bicolor,756,3/2/17,5,100,0,0
Microseris,742,3/29/17,1,100,0,0
Microseris,742,3/29/17,2,90,10,0
Microseris,742,3/29/17,3,90,10,0
Microseris,742,3/29/17,4,,,
Microseris,742,3/29/17,5,,,
Microseris,742,3/7/17,1,,,
Microseris,742,3/7/17,2,,,
Microseris,742,3/7/17,3,,,
Microseris,742,3/7/17,4,100,0,0
Microseris,742,3/7/17,5,100,0,0
Microseris,745,3/29/17,1,80,20,0
Microseris,745,3/29/17,2,90,10,0
Microseris,745,3/29/17,3,100,0,0
Microseris,745,3/29/17,4,100,0,0
Microseris,745,3/29/17,5,95,5,0
Microseris,745,3/7/17,1,100,0,0
Microseris,745,3/7/17,2,100,0,0
Microseris,745,3/7/17,3,100,0,0
Microseris,745,3/7/17,4,100,0,0
Microseris,745,3/7/17,5,100,0,0
Plantago erecta,742,3/29/17,1,0,90,10
Plantago erecta,742,3/29/17,2,0,100,0
Plantago erecta,742,3/29/17,3,0,100,0
Plantago erecta,742,3/29/17,4,0,100,0
Plantago erecta,742,3/29/17,5,0,100,0
Plantago erecta,742,3/7/17,1,100,0,0
Plantago erecta,742,3/7/17,2,,,
Plantago erecta,742,3/7/17,3,100,0,0
Plantago erecta,742,3/7/17,4,100,0,0
Plantago erecta,742,3/7/17,5,100,0,0
Plantago erecta,743,3/29/17,1,10,90,0
Plantago erecta,743,3/29/17,2,0,100,0
Plantago erecta,743,3/29/17,3,0,100,0
Plantago erecta,743,3/29/17,4,0,100,0
Plantago erecta,743,3/29/17,5,0,100,0
Plantago erecta,743,3/7/17,1,100,0,0
Plantago erecta,743,3/7/17,2,,,
Plantago erecta,743,3/7/17,3,100,0,0
Plantago erecta,743,3/7/17,4,100,0,0
Plantago erecta,743,3/7/17,5,100,0,0
Plantago erecta,745,3/29/17,1,5,95,0
Plantago erecta,745,3/29/17,2,10,90,0
Plantago erecta,745,3/29/17,3,0,100,0
Plantago erecta,745,3/29/17,4,5,95,0
Plantago erecta,745,3/29/17,5,0,100,0
Plantago erecta,745,3/7/17,1,100,0,0
Plantago erecta,745,3/7/17,2,100,0,0
Plantago erecta,745,3/7/17,3,100,0,0
Plantago erecta,745,3/7/17,4,100,0,0
Plantago erecta,745,3/7/17,5,90,10,0
Torrilis arvensis,758,3/31/17,1,100,0,0
Torrilis arvensis,758,3/31/17,2,100,0,0
Torrilis arvensis,758,3/31/17,3,100,0,0
Torrilis arvensis,758,3/31/17,4,100,0,0
Torrilis arvensis,758,3/31/17,5,100,0,0
Torrilis arvensis,758,3/3/17,1,100,0,0
Torrilis arvensis,758,3/3/17,2,100,0,0
Torrilis arvensis,758,3/3/17,3,100,0,0
Torrilis arvensis,758,3/3/17,4,100,0,0
Torrilis arvensis,758,3/3/17,5,100,0,0
Trifolium albopurpureum,742,3/29/17,1,100,0,0
Trifolium albopurpureum,742,3/29/17,2,100,0,0
Trifolium albopurpureum,742,3/29/17,3,100,0,0
Trifolium albopurpureum,742,3/29/17,4,,,
Trifolium albopurpureum,742,3/29/17,5,,,
Trifolium albopurpureum,742,3/7/17,1,100,0,0
Trifolium albopurpureum,742,3/7/17,2,100,0,0
Trifolium albopurpureum,742,3/7/17,3,100,0,0
Trifolium albopurpureum,742,3/7/17,4,100,0,0
Trifolium albopurpureum,742,3/7/17,5,100,0,0
Trifolium albopurpureum,744,3/30/17,1,50,50,0
Trifolium albopurpureum,744,3/30/17,2,100,0,0
Trifolium albopurpureum,744,3/30/17,3,60,40,0
Trifolium albopurpureum,744,3/30/17,4,100,0,0
Trifolium albopurpureum,744,3/30/17,5,,,
Trifolium albopurpureum,744,3/7/17,1,100,0,0
Trifolium albopurpureum,744,3/7/17,2,100,0,0
Trifolium albopurpureum,744,3/7/17,3,100,0,0
Trifolium albopurpureum,744,3/7/17,4,100,0,0
Trifolium albopurpureum,744,3/7/17,5,,,
Trifolium albopurpureum,747,3/30/17,1,,,
Trifolium albopurpureum,747,3/30/17,2,50,50,0
Trifolium albopurpureum,747,3/30/17,3,,,
Trifolium albopurpureum,747,3/30/17,4,,,
Trifolium albopurpureum,747,3/30/17,5,0,100,0
Trifolium albopurpureum,747,3/7/17,1,100,0,0
Trifolium albopurpureum,747,3/7/17,2,,,
Trifolium albopurpureum,747,3/7/17,3,,,
Trifolium albopurpureum,747,3/7/17,4,,,
Trifolium albopurpureum,747,3/7/17,5,100,0,0
Viola pedunculata,759,3/31/17,1,,,
Viola pedunculata,759,3/31/17,2,0,100,0
Viola pedunculata,759,3/31/17,3,0,100,0
Viola pedunculata,759,3/31/17,4,100,0,0
Viola pedunculata,759,3/31/17,5,75,25,0
Vulpia myuros,760,3/31/17,1,90,5,5
Vulpia myuros,760,3/31/17,2,80,15,5
Vulpia myuros,760,3/31/17,3,20,70,10
Vulpia myuros,760,3/31/17,4,20,60,20
Vulpia myuros,760,3/31/17,5,50,40,10
Vulpia myuros,760,3/3/17,1,100,0,0
Vulpia myuros,760,3/3/17,2,100,0,0
Vulpia myuros,760,3/3/17,3,100,0,0
Vulpia myuros,760,3/3/17,4,100,0,0
Vulpia myuros,760,3/3/17,5,100,0,0
Bromus diandrus,754,4/14/17,1,40,60,
Bromus diandrus,754,4/14/17,2,30,70,
Bromus diandrus,754,4/14/17,3,20,80,
Bromus diandrus,754,4/14/17,4,20,80,
Bromus diandrus,754,4/14/17,5,10,90,
Leptosiphon parviflorus,755,4/14/17,1,,10,90
Leptosiphon parviflorus,755,4/14/17,2,,5,95
Leptosiphon parviflorus,755,4/14/17,3,,5,95
Leptosiphon parviflorus,755,4/14/17,4,,,100
Leptosiphon parviflorus,755,4/14/17,5,,10,90
Avena fatua,753,4/14/17,1,,50,50
Avena fatua,753,4/14/17,2,,80,20
Avena fatua,753,4/14/17,3,,50,50
Avena fatua,753,4/14/17,4,30,60,10
Avena fatua,753,4/14/17,5,20,70,10
astragalus gambelianus,752,4/14/17,1,,,100
astragalus gambelianus,752,4/14/17,2,,,100
astragalus gambelianus,752,4/14/17,3,,,100
astragalus gambelianus,752,4/14/17,4,,,100
astragalus gambelianus,752,4/14/17,5,,,100
Ancistrocarphus filagineus,751,4/14/17,1,,,
Ancistrocarphus filagineus,751,4/14/17,2,,,100
Ancistrocarphus filagineus,751,4/14/17,3,,,
Ancistrocarphus filagineus,751,4/14/17,4,,,
Ancistrocarphus filagineus,751,4/14/17,5,,,
Leptosiphon parviflorus,751,4/14/17,1,,,100
Leptosiphon parviflorus,751,4/14/17,2,,50,50
Leptosiphon parviflorus,751,4/14/17,3,,10,90
Leptosiphon parviflorus,751,4/14/17,4,,,
Leptosiphon parviflorus,751,4/14/17,5,,,100
Avena barbata,750,4/14/17,1,,10,90
Avena barbata,750,4/14/17,2,,10,90
Avena barbata,750,4/14/17,3,,60,40
Avena barbata,750,4/14/17,4,,20,80
Avena barbata,750,4/14/17,5,10,45,45
Lactuca,740,4/14/17,1,100,,
Lactuca,740,4/14/17,2,100,,
Lactuca,740,4/14/17,3,100,,
Lactuca,740,4/14/17,4,100,,
Lactuca,740,4/14/17,5,100,,
Avena fatua,749,4/14/17,1,,100,
Avena fatua,749,4/14/17,2,,50,50
Avena fatua,749,4/14/17,3,,50,50
Avena fatua,749,4/14/17,4,,20,80
Avena fatua,749,4/14/17,5,,50,50
Gilia ocheracerous,749,4/14/17,1,,10,90
Gilia ocheracerous,749,4/14/17,2,,,100
Gilia ocheracerous,749,4/14/17,3,,10,90
Gilia ocheracerous,749,4/14/17,4,,10,90
Gilia ocheracerous,749,4/14/17,5,,,100
Achyrachaena mollis,741,4/15/17,1,,,
Achyrachaena mollis,741,4/15/17,2,,,
Achyrachaena mollis,741,4/15/17,3,,50,50
Achyrachaena mollis,741,4/15/17,4,,,
Achyrachaena mollis,741,4/15/17,5,,,
Agoseris heterophylla,741,4/15/17,1,,,
Agoseris heterophylla,741,4/15/17,2,10,80,10
Agoseris heterophylla,741,4/15/17,3,,70,30
Agoseris heterophylla,741,4/15/17,4,,50,50
Agoseris heterophylla,741,4/15/17,5,20,80,
Bromus hordaceous,741,4/15/17,1,,100,
Bromus hordaceous,741,4/15/17,2,,100,
Bromus hordaceous,741,4/15/17,3,,100,
Bromus hordaceous,741,4/15/17,4,,100,
Bromus hordaceous,741,4/15/17,5,,100,
Avena fatua,741,4/15/17,1,,100,
Avena fatua,741,4/15/17,2,,100,
Avena fatua,741,4/15/17,3,,100,
Avena fatua,741,4/15/17,4,,100,
Avena fatua,741,4/15/17,5,,100,
Lactuca,741,4/15/17,1,100,,
Lactuca,741,4/15/17,2,100,,
Lactuca,741,4/15/17,3,100,,
Lactuca,741,4/15/17,4,,,
Lactuca,741,4/15/17,5,100,,
Trifolium albopurpureum,742,4/15/17,1,,100,
Trifolium albopurpureum,742,4/15/17,2,,100,
Trifolium albopurpureum,742,4/15/17,3,,,
Trifolium albopurpureum,742,4/15/17,4,,,
Trifolium albopurpureum,742,4/15/17,5,,,
plantago erecta,742,4/15/17,1,,20,50
plantago erecta,742,4/15/17,2,,,100
plantago erecta,742,4/15/17,3,,10,90
plantago erecta,742,4/15/17,4,,,100
plantago erecta,742,4/15/17,5,,,100
achyrachaena mollis,742,4/15/17,1,,,
achyrachaena mollis,742,4/15/17,2,,,
achyrachaena mollis,742,4/15/17,3,,,100
achyrachaena mollis,742,4/15/17,4,,,100
achyrachaena mollis,742,4/15/17,5,,,
agoseris heterophylla,742,4/15/17,1,10,50,40
agoseris heterophylla,742,4/15/17,2,10,10,80
agoseris heterophylla,742,4/15/17,3,,10,90
agoseris heterophylla,742,4/15/17,4,,50,50
agoseris heterophylla,742,4/15/17,5,10,10,80
microseris,742,4/15/17,1,,20,80
microseris,742,4/15/17,2,,20,80
microseris,742,4/15/17,3,,10,50
microseris,742,4/15/17,4,,,
microseris,742,4/15/17,5,,,
Avena barbata,742,4/15/17,1,,80,20
Avena barbata,742,4/15/17,2,,10,90
Avena barbata,742,4/15/17,3,,20,80
Avena barbata,742,4/15/17,4,,50,50
Avena barbata,742,4/15/17,5,,60,40
Agoseris heterophylla,743,4/15/17,1,,70,30
Agoseris heterophylla,743,4/15/17,2,,50,50
Agoseris heterophylla,743,4/15/17,3,10,90,
Agoseris heterophylla,743,4/15/17,4,,,
Agoseris heterophylla,743,4/15/17,5,,,
ancistrocarphus filagineus,743,4/15/17,1,,,
ancistrocarphus filagineus,743,4/15/17,2,,,
ancistrocarphus filagineus,743,4/15/17,3,,,
ancistrocarphus filagineus,743,4/15/17,4,,,100
ancistrocarphus filagineus,743,4/15/17,5,,,100
Leptosiphon parviflorus,743,4/15/17,1,,,
Leptosiphon parviflorus,743,4/15/17,2,,,100
Leptosiphon parviflorus,743,4/15/17,3,,10,90
Leptosiphon parviflorus,743,4/15/17,4,,,100
Leptosiphon parviflorus,743,4/15/17,5,,,
plantago erecta,743,4/15/17,1,,10,90
plantago erecta,743,4/15/17,2,,,100
plantago erecta,743,4/15/17,3,,,100
plantago erecta,743,4/15/17,4,,,100
plantago erecta,743,4/15/17,5,,,100
Trifolium albopurpureum,744,4/15/17,1,,,100
Trifolium albopurpureum,744,4/15/17,2,,,100
Trifolium albopurpureum,744,4/15/17,3,,,100
Trifolium albopurpureum,744,4/15/17,4,,,100
Trifolium albopurpureum,744,4/15/17,5,,,
Agoseris heterophylla,745,4/15/17,1,,100,
Agoseris heterophylla,745,4/15/17,2,,100,
Agoseris heterophylla,745,4/15/17,3,,,
Agoseris heterophylla,745,4/15/17,4,,,
Agoseris heterophylla,745,4/15/17,5,,,
plantago erecta,745,4/15/17,1,,,100
plantago erecta,745,4/15/17,2,,,100
plantago erecta,745,4/15/17,3,,,100
plantago erecta,745,4/15/17,4,,,100
plantago erecta,745,4/15/17,5,,,100
microseris,745,4/15/17,1,,,100
microseris,745,4/15/17,2,,10,90
microseris,745,4/15/17,3,,,100
microseris,745,4/15/17,4,,10,90
microseris,745,4/15/17,5,,,100
Bromus hordaceous,746,4/15/17,1,,100,
Bromus hordaceous,746,4/15/17,2,,100,
Bromus hordaceous,746,4/15/17,3,,100,
Bromus hordaceous,746,4/15/17,4,,100,
Bromus hordaceous,746,4/15/17,5,,90,10
ancistrocarphus filagineus,747,4/15/17,1,,,
ancistrocarphus filagineus,747,4/15/17,2,,,
