sequence,USDA_symbol,plot,plant_number,height,width,length,extra
2259,ERCI6,comp,1,11,20,10,11 20 10 NA NA
2262,ERCI6,comp,2,10,35,26,10 35 26 NA NA
2265,ERCI6,comp,3,22,50,10,22 50 10 using half of plant NA
2268,ERCI6,comp,4,10,80,40,10 80 40 using quarter of plant NA
2271,ERCI6,comp,5,17,55,30,17 55 30 NA NA
2274,NAAT,comp,1,7,2,3,7 2 3 NA NA
2277,NAAT,comp,2,6.5,4.5,3,6.5 4.5 3 NA NA
2280,NAAT,comp,3,5,4,2,5 4 2 NA NA
2283,NAAT,comp,4,9,9,10,9 9 10 NA NA
2286,NAAT,comp,5,10,8,7,10 8 7 using half of plant NA
2289,NAAT,741,1,6,8,11,6 8 11 using half of plant NA
2292,NAAT,741,2,7,9,7,7 9 7 using half of plant NA
2295,NAAT,741,3,6,10,7,6 10 7 using half of plant NA
2298,NAAT,741,4,9,9,8,9 9 8 NA NA
2301,NAAT,741,5,10,18,13,10 18 13 using quarter of plant NA
2304,LOAM5,741,1,7,9,3,7 9 3 NA NA
2307,LOAM5,741,2,5,5,3,5 5 3 lots of herbivory on this plant NA
2310,MEPO3,741,1,6,7,3,"6 7 3 only used two leaflets for this leaf, herbivory on the third leaflet NA"
2313,NAAT,740,1,5.5,6,5,5.5 6 5 NA NA
2316,NAAT,740,2,12,12,6,12 12 6 NA NA
2319,NAAT,740,3,5,7,6,5 7 6 using half of plant NA
2322,NAAT,740,4,5,9,7,5 9 7 using half of plant NA
2325,NAAT,740,5,7,9,5,7 9 5 NA NA
2328,LOAM5,749,1,11,21,7,11 21 7 NA NA
2331,LOAM5,749,2,9,17,12,9 17 12 NA NA
2334,LOAM5,749,3,8,12,10,8 12 10 NA NA
2337,LOAM5,749,4,18,29,20,18 29 20 a tiny LOPU was growing right next to this one but can use as a lambda plant NA
2340,LOAM5,749,5,8,10,4,8 10 4 NA NA
2343,ERCI6,749,1,4,6,5,4 6 5 NA NA
2346,ERCI6,749,2,9,20,14,9 20 14 NA NA
2349,ERCI6,749,3,8,13,10,8 13 10 NA NA
2352,ERCI6,749,4,10,10,9,10 10 9 NA NA
2355,ERCI6,749,5,9,16,6,9 16 6 NA NA
