sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,date_collected,notes.x,X,X.1,X.2,X.3,LDMC,date,Slice,Count,Total.Area,Average.Size,X.Area,Mean,notes.y,all,SLA
456,non_plot,ERMO,5,3,3.6,2.7,0.06625,NA,0.0114,NA,6-Apr-17,,,,,,0.1720754716981132,2017-04-06,ermo-p5-l3,6,3.682,0.614,0.611,254.049,with_petiole,FALSE,245.46666666666667
457,non_plot,ERMO,6,1,8.7,3.5,0.2223,NA,0.0355,NA,6-Apr-17,,,,,,0.1596941070625281,2017-04-06,ermo-p6-l1,4,11.098,2.774,1.841,253.561,with_petiole,FALSE,711.4102564102565
458,non_plot,ERMO,6,2,8.7,2,0.1476,NA,0.0241,NA,6-Apr-17,,,,,,0.1632791327913279,2017-04-06,ermo-p6-l2,7,6.408,0.915,1.063,254.617,with_petiole,FALSE,598.8785046728973
459,non_plot,ERMO,6,3,3,2,0.05197,NA,0.012,NA,6-Apr-17,,,,,,0.23090244371752933,2017-04-06,ermo-p6-l3,3,3.323,1.108,0.551,254.939,with_petiole,FALSE,257.5968992248062
460,non_plot,ERMO,7,1,10.1,2,0.15558,NA,0.025,NA,6-Apr-17,,,,,,0.16068903458028025,2017-04-06,ermo-p7-l1,6,7.093,1.182,1.177,254.79,with_petiole,FALSE,921.1688311688312
461,non_plot,ERMO,7,2,7.1,1.7,0.0786,NA,0.0134,NA,6-Apr-17,,,,,,0.17048346055979643,2017-04-06,ermo-p7-l2,5,4.385,0.877,0.728,253.863,with_petiole,FALSE,515.8823529411765
462,non_plot,ERMO,7,3,6.5,1.8,0.08027,NA,0.0143,NA,6-Apr-17,,,,,,0.17814874797558242,2017-04-06,ermo-p7-l3,7,4.617,0.66,0.766,253.966,with_petiole,FALSE,461.7
463,non_plot,ERMO,8,1,7.5,2.2,0.10767,NA,0.0197,NA,6-Apr-17,,,,,,0.18296647162626542,2017-04-06,ermo-p8-l1,5,5.883,1.177,0.976,253.647,with_petiole,FALSE,179.90825688073394
464,non_plot,ERMO,8,2,7.6,2.1,0.08406,NA,0.0131,NA,6-Apr-17,,,,,,0.15584106590530575,2017-04-06,ermo-p8-l2,1,4.968,4.968,0.824,250.527,with_petiole,FALSE,140.33898305084745
465,non_plot,ERMO,8,3,7.3,2.4,0.08211,NA,0.0139,NA,6-Apr-17,,,,,,0.16928510534648641,2017-04-06,ermo-p8-l3,1,4.679,4.679,0.776,251.837,with_petiole,FALSE,186.41434262948206
466,non_plot,VUMY,4,1,9.5,0.2,0.02383,NA,0.0058,NA,6-Apr-17,leaves curl when scanning leaf area total - double scanned area to calc. total area,,,,,0.24339068401174987,2017-04-06,vumy-p4-l1,3,1.796,0.599,0.298,255,,FALSE,93.05699481865284
467,non_plot,VUMY,4,2,9.1,0.2,0.02441,NA,0.005,NA,6-Apr-17,,,,,,0.20483408439164277,2017-04-06,vumy-p4-l2,1,1.543,1.543,0.256,255,,FALSE,86.68539325842697
468,non_plot,VUMY,4,3,8.2,0.2,0.02298,NA,0.005,NA,6-Apr-17,,,,,,0.2175805047867711,2017-04-06,vumy-p4-l3,3,1.561,0.52,0.259,254.986,,FALSE,145.88785046728972
469,non_plot,VUMY,5,1,7.4,0.3,0.0191,NA,0.0031,NA,6-Apr-17,,,,,,0.16230366492146597,2017-04-06,vumy-p5-l1,5,1.388,0.278,0.23,254.852,,FALSE,23.485617597292723
470,non_plot,VUMY,5,2,8.1,0.3,0.01903,NA,0.004,NA,6-Apr-17,,,,,,0.21019442984760905,2017-04-06,vumy-p5-l2,4,1.508,0.377,0.25,254.949,,FALSE,21.666666666666668
471,non_plot,VUMY,5,3,8,0.3,0.01668,NA,0.0036,NA,6-Apr-17,,,,,,0.2158273381294964,2017-04-06,vumy-p5-l3,3,1.329,0.443,0.221,254.997,,FALSE,92.29166666666667
472,non_plot,VUMY,6,1,2.5,0.2,0.00355,NA,NA,NA,6-Apr-17,,,,,,NA,2017-04-06,vumy-p6-l1,1,0.27,0.27,0.045,254.915,,FALSE,5.357142857142858
473,non_plot,VUMY,6,2,4.5,0.2,0.00916,NA,0.0028,NA,6-Apr-17,,,,,,0.3056768558951965,2017-04-06,vumy-p6-l2,2,0.561,0.281,0.093,254.886,,FALSE,12.606741573033709
474,non_plot,VUMY,6,3,3.2,0.2,0.0043,NA,NA,NA,6-Apr-17,,,,,,NA,2017-04-06,vumy-p6-l3,3,0.381,0.127,0.063,254.797,,FALSE,9.596977329974811
475,non_plot,VUMY,7,1,10.5,0.3,0.0405,NA,0.0096,NA,6-Apr-17,leaf area of only half the plant ,,,,,0.23703703703703702,2017-04-06,vumy-p7-l1,5,2.474,0.495,0.411,254.592,,FALSE,145.52941176470588
476,non_plot,VUMY,7,2,14.4,0.3,0.06208,NA,0.0143,NA,6-Apr-17,,,,,,0.23034793814432988,2017-04-06,vumy-p7-l2,7,3.601,0.514,0.597,254.982,,FALSE,529.5588235294118
477,non_plot,VUMY,7,3,10.9,0.3,0.04094,NA,0.0092,NA,6-Apr-17,,,,,,0.22471910112359553,2017-04-06,vumy-p7-l3,8,2.554,0.319,0.424,254.999,,FALSE,236.48148148148147
478,non_plot,VUMY,8,1,7.8,0.3,0.02218,NA,0.0052,NA,6-Apr-17,,,,,,0.23444544634806133,2017-04-06,vumy-p8-l1,3,1.446,0.482,0.24,254.798,,FALSE,64.26666666666667
479,non_plot,VUMY,8,2,8,0.3,0.02134,NA,0.0056,NA,6-Apr-17,,,,,,0.2624179943767572,2017-04-06,vumy-p8-l2,3,1.317,0.439,0.218,254.863,,FALSE,83.88535031847134
480,non_plot,VUMY,8,3,7.1,0.2,0.01903,NA,0.0058,NA,6-Apr-17,,,,,,0.3047819232790331,2017-04-06,vumy-p8-l3,3,1.2,0.4,0.199,254.946,,FALSE,42.10526315789473
481,non_plot,BRHO,1,1,9.1,0.4,0.04384,NA,0.0095,NA,6-Apr-17,,,,,,0.21669708029197082,2017-04-06,brho-p1-l1,3,2.978,0.993,0.494,254.957,,FALSE,168.24858757062148
482,non_plot,BRHO,1,2,10,0.4,0.04871,NA,0.0112,NA,6-Apr-17,,,,,,0.2299322521042907,2017-04-06,brho-p1-l2,3,3.287,1.096,0.545,254.876,,FALSE,265.0806451612903
483,non_plot,BRHO,1,3,7.9,0.4,0.03585,NA,0.0081,NA,6-Apr-17,,,,,,0.22594142259414224,2017-04-06,brho-p1-l3,3,2.6,0.867,0.431,254.995,,FALSE,366.19718309859155
484,non_plot,BRHO,2,1,7.9,0.4,0.03525,NA,0.0087,NA,6-Apr-17,,,,,,0.24680851063829787,2017-04-06,brho-p2-l1,4,2.712,0.678,0.45,254.971,,FALSE,189.65034965034965
485,non_plot,BRHO,2,2,7.4,0.5,0.03688,NA,0.0095,NA,6-Apr-17,,,,,,0.2575921908893709,2017-04-06,brho-p2-l2,2,2.786,1.393,0.462,254.333,,FALSE,146.63157894736844
486,non_plot,BRHO,2,3,6.5,0.3,0.01819,NA,0.0043,NA,6-Apr-17,,,,,,0.2363936228697086,2017-04-06,brho-p2-l3,4,1.502,0.376,0.249,254.865,,FALSE,88.35294117647058
487,non_plot,BRHO,3,1,8.7,0.4,0.04205,NA,0.0104,NA,6-Apr-17,,,,,,0.24732461355529134,2017-04-06,brho-p3-l1,5,2.842,0.568,0.472,254.467,,FALSE,128.5972850678733
488,non_plot,BRHO,3,2,8.7,0.4,0.04169,NA,0.0099,NA,6-Apr-17,,,,,,0.23746701846965704,2017-04-06,brho-p3-l2,4,3.021,0.755,0.501,254.995,,FALSE,140.51162790697674
489,non_plot,BRHO,3,3,9.1,0.5,0.04186,NA,0.0115,NA,6-Apr-17,,,,,,0.2747252747252747,2017-04-06,brho-p3-l3,4,3.249,0.812,0.539,254.994,,FALSE,201.80124223602485
490,non_plot,BRHO,4,1,8.9,0.6,0.06333,NA,0.0157,NA,6-Apr-17,,,,,,0.24790778462024315,2017-04-06,brho-p4-l1,4,3.959,0.99,0.657,254.977,,FALSE,245.90062111801242
491,non_plot,BRHO,4,2,8.3,0.6,0.0557,NA,0.0143,NA,6-Apr-17,,,,,,0.25673249551166966,2017-04-06,brho-p4-l2,1,3.417,3.417,0.567,254.837,,FALSE,216.2658227848101
492,non_plot,BRHO,4,3,10.6,0.5,0.055,NA,0.0136,NA,6-Apr-17,,,,,,0.24727272727272726,2017-04-06,brho-p4-l3,4,3.949,0.987,0.655,254.935,,FALSE,204.61139896373055
493,non_plot,BRHO,5,1,10.7,0.6,0.06777,NA,0.0175,NA,6-Apr-17,,,,,,0.25822635384388376,2017-04-06,brho-p5-l1,2,4.761,2.38,0.79,254.989,,FALSE,285.0898203592815
494,non_plot,BRHO,5,2,8.7,0.4,0.03557,NA,0.009,NA,6-Apr-17,,,,,,0.2530222097272983,2017-04-06,brho-p5-l2,3,2.755,0.918,0.457,254.923,,FALSE,205.59701492537312
495,non_plot,BRHO,5,3,7.1,0.3,0.02575,NA,0.0059,NA,6-Apr-17,,,,,,0.229126213592233,2017-04-06,brho-p5-l3,4,1.823,0.456,0.302,254.988,,FALSE,145.83999999999997
496,non_plot,BRHO,6,1,6.6,0.5,0.03567,NA,0.009,NA,6-Apr-17,this plant leaf area scanned in two parts ,,,,,0.25231286795626573,2017-04-06,brho-p6-l1,3,2.365,0.788,0.392,254.971,,FALSE,363.84615384615387
497,non_plot,BRHO,6,2,8.9,0.6,0.06775,NA,0.0151,NA,6-Apr-17,,,,,,0.22287822878228783,2017-04-06,brho-p6-l2,3,4.122,1.374,0.684,254.992,,FALSE,606.1764705882354
498,non_plot,BRHO,6,3,9.1,0.5,0.05747,NA,0.0139,NA,6-Apr-17,,,,,,0.2418653210370628,2017-04-06,brho-p6-l3,4,3.611,0.903,0.599,254.981,,FALSE,768.2978723404256
499,non_plot,BRHO,7,1,12,0.7,0.09693,NA,0.0238,NA,6-Apr-17,,,,,,0.24553801712576087,2017-04-06,brho-p7-l1,4,6.315,1.579,1.048,254.989,,FALSE,288.3561643835617
500,non_plot,BRHO,7,2,7.2,0.4,0.02861,NA,0.0077,NA,6-Apr-17,,,,,,0.2691366655015729,2017-04-06,brho-p7-l2,2,2.15,1.075,0.357,254.922,,FALSE,87.75510204081633
501,non_plot,BRHO,7,3,7.1,0.4,0.02903,NA,0.0087,NA,6-Apr-17,,,,,,0.2996899758870134,2017-04-06,brho-p7-l3,1,2.288,2.288,0.38,254.984,,FALSE,134.58823529411762
502,non_plot,BRHO,8,1,5.8,0.4,0.02485,NA,0.0063,NA,6-Apr-17,,,,,,0.2535211267605634,2017-04-06,brho-p8-l1,3,1.702,0.567,0.282,254.815,,FALSE,62.11678832116788
503,non_plot,BRHO,8,2,4.5,0.3,0.01683,NA,0.0037,NA,6-Apr-17,,,,,,0.21984551396316102,2017-04-06,brho-p8-l2,2,1.247,0.624,0.207,254.962,,FALSE,55.42222222222223
504,non_plot,BRHO,8,3,8.2,0.5,0.04968,NA,0.0138,NA,6-Apr-17,,,,,,0.27777777777777773,2017-04-06,brho-p8-l3,1,2.954,2.954,0.49,254.926,,FALSE,162.30769230769232
505,non_plot,MIDO,1,1,8,0.4,0.05721,NA,0.0098,NA,10-Apr-17,,,,,,0.17129872399930082,2017-04-10,microseris-p1-l1,2,2.603,1.302,0.401,254.467,,FALSE,135.57291666666669
506,non_plot,MIDO,1,2,8.1,0.4,0.05791,NA,0.01,NA,10-Apr-17,H: 18.5, w1- 2, w2- 2,,,0.17268174753928509,2017-04-10,microseris-p1-l2,1,2.538,2.538,0.391,254.157,,FALSE,165.88235294117646
507,non_plot,MIDO,1,3,9.6,0.4,0.070763,NA,0.0124,NA,10-Apr-17,,,,,,0.17523281941127422,2017-04-10,microseris-p1-l3,2,3.134,1.567,0.482,253.633,,FALSE,292.89719626168227
508,non_plot,MIDO,2,1,10.9,0.5,0.0966,NA,0.0162,NA,10-Apr-17,H: 20.5, w1: 3, W2: 4.1,,,0.16770186335403725,2017-04-10,microseris-p2-l1,1,4.271,4.271,0.657,252.612,,FALSE,502.4705882352941
509,non_plot,MIDO,2,2,9.8,0.4,0.0799,NA,0.0129,NA,10-Apr-17,,,,,,0.16145181476846057,2017-04-10,microseris-p2-l2,1,3.341,3.341,0.514,252.429,,FALSE,402.5301204819277
510,non_plot,MIDO,2,3,10.4,0.5,0.07964,NA,0.0127,NA,10-Apr-17,,,,,,0.15946760421898543,2017-04-10,microseris-p2-l3,1,3.494,3.494,0.538,252.109,,FALSE,545.9375
511,non_plot,MIDO,3,1,11.3,0.5,0.09769,NA,0.0153,NA,10-Apr-17,H:14.6, W1: 3, W2: 2.5,,,0.1566178728631385,2017-04-10,microseris-p3-l1,2,4.251,2.125,0.654,254.027,,FALSE,416.7647058823529
512,non_plot,MIDO,3,2,9,0.5,0.06081,NA,0.0102,NA,10-Apr-17,,,,,,0.16773556980759743,2017-04-10,microseris-p3-l2,1,2.677,2.677,0.412,254.31,,FALSE,294.1758241758242
513,non_plot,MIDO,3,3,11.2,0.4,0.08894,NA,0.0145,NA,10-Apr-17,,,,,,0.16303125702720936,2017-04-10,microseris-p3-l3,2,3.953,1.976,0.608,252.49,,FALSE,564.7142857142857
514,non_plot,MIDO,4,1,5.9,0.4,0.03646,NA,0.0058,NA,10-Apr-17,H: 22.2, W1: 9.5, W2: 5.2,,,0.15907844212835984,2017-04-10,microseris-p4-l1,1,1.539,1.539,0.237,249.621,,FALSE,199.87012987012986
515,non_plot,MIDO,4,2,6.1,0.4,0.03721,NA,0.0064,NA,10-Apr-17,,,,,,0.17199677506046762,2017-04-10,microseris-p4-l2,1,1.599,1.599,0.246,253.677,,FALSE,145.36363636363637
516,non_plot,MIDO,4,3,6.3,0.4,0.03826,NA,0.0063,NA,10-Apr-17,,,,,,0.16466283324621014,2017-04-10,microseris-p4-l3,1,1.591,1.591,0.245,250.641,,FALSE,430
517,non_plot,MIDO,5,1,12.5,0.8,0.13267,NA,0.0225,NA,10-Apr-17,H:28.9, W1: 8.5, W2: 6,,,0.16959372880078388,2017-04-10,microseris-p5-l1,1,5.814,5.814,0.895,253.768,,FALSE,937.741935483871
518,non_plot,MIDO,5,2,13.5,0.8,0.138,NA,0.0228,NA,10-Apr-17,,,,,,0.16521739130434782,2017-04-10,microseris-p5-l2,3,6.289,2.096,0.968,253.464,,FALSE,542.1551724137931
519,non_plot,MIDO,5,3,11.5,0.6,0.08075,NA,0.0122,NA,10-Apr-17,,,,,,0.15108359133126936,2017-04-10,microseris-p5-l3,1,3.915,3.915,0.603,250.924,,FALSE,870.0000000000001
520,non_plot,MIDO,6,1,12.6,0.7,0.12342,NA,0.0206,NA,10-Apr-17,H: 26.4, w1: 6.5, w2: 5.5,,,0.16690973910225246,2017-04-10,microseris-p6-l1,2,5.694,2.847,0.876,253.926,,FALSE,409.6402877697842
521,non_plot,MIDO,6,2,12,0.6,0.09802,NA,0.0156,NA,10-Apr-17,,,,,,0.15915119363395225,2017-04-10,microseris-p6-l2,3,4.261,1.42,0.656,254.802,,FALSE,774.7272727272727
522,non_plot,MIDO,6,3,9.9,0.6,0.05223,NA,0.0084,NA,10-Apr-17,,,,,,0.16082711085582999,2017-04-10,microseris-p6-l3,3,1.942,0.647,0.299,252.188,,FALSE,119.14110429447854
523,non_plot,MIDO,7,1,8.5,0.5,0.06485,NA,0.0105,NA,10-Apr-17,H: 23.4, W1: 5, W2: 2,,,0.16191210485736315,2017-04-10,microseris-p7-l1,2,2.576,1.288,0.396,253.888,,FALSE,330.2564102564103
524,non_plot,MIDO,7,2,10.9,0.6,0.07719,NA,0.0125,NA,10-Apr-17,,,,,,0.16193807488016584,2017-04-10,microseris-p7-l2,3,3.108,1.036,0.478,254.532,,FALSE,661.2765957446809
525,non_plot,MIDO,7,3,9.4,0.4,0.05677,NA,0.0081,NA,10-Apr-17,,,,,,0.14268099348247312,2017-04-10,microseris-p7-l3,1,2.309,2.309,0.355,253.722,,FALSE,262.3863636363636
526,non_plot,MIDO,8,1,9.8,0.5,0.05871,NA,0.01,NA,10-Apr-17,H: 16.6, W1: 5.2, W2: 3,,,0.170328734457503,2017-04-10,microseris-p8-l1,1,2.669,2.669,0.411,254.74,,FALSE,240.45045045045043
527,non_plot,MIDO,8,2,8.4,0.5,0.052993,NA,0.0093,NA,10-Apr-17,,,,,,0.1754948766818259,2017-04-10,microseris-p8-l2,2,2.37,1.185,0.365,254.672,,FALSE,530.2013422818792
528,non_plot,MIDO,8,3,7.8,0.5,0.04405,NA,0.0078,NA,10-Apr-17,,,,,,0.17707150964812712,2017-04-10,microseris-p8-l3,1,2.021,2.021,0.311,254.806,,FALSE,457.23981900452486
862,non_plot,ANAR,1,1,1,0.75,0.01548,NA,0.0027,NA,14-Apr-17,,,,,,0.1744186046511628,2017-04-14,anar-p1-l1,1,0.644,0.644,0.099,254.716,,FALSE,76.03305785123968
863,non_plot,ANAR,1,2,1.25,1,0.0297,NA,0.0037,NA,14-Apr-17,,,,,,0.12457912457912458,2017-04-14,anar-p1-l2,1,1.159,1.159,0.178,254.83,,FALSE,140.9975669099757
864,non_plot,ANAR,1,3,1,0.75,0.01273,NA,0.0018,NA,14-Apr-17,,,,,,0.14139827179890024,2017-04-14,anar-p1-l3,1,0.661,0.661,0.102,254.91,,FALSE,119.52983725135624
865,non_plot,ANAR,2,1,1,2,0.01445,NA,0.0026,NA,14-Apr-17,,,,,,0.17993079584775087,2017-04-14,anar-p2-l1,1,0.783,0.783,0.121,255,,FALSE,96.42857142857143
866,non_plot,ANAR,2,2,0.75,0.5,0.00858,NA,0.0017,NA,14-Apr-17,,,,,,0.19813519813519812,2017-04-14,anar-p2-l2,1,0.641,0.641,0.099,254.979,,FALSE,85.35286284953395
867,non_plot,ANAR,2,3,1,0.5,0.01089,NA,0.0014,NA,14-Apr-17,,,,,,0.12855831037649218,2017-04-14,anar-p2-l3,1,0.598,0.598,0.092,254.977,,FALSE,100.84317032040471
868,non_plot,ANAR,3,1,1.25,1,0.01974,NA,0.0031,NA,14-Apr-17,,,,,,0.1570415400202634,2017-04-14,anar-p3-l1,2,1.168,0.584,0.18,254.973,,FALSE,124.38764643237485
869,non_plot,ANAR,3,2,1.5,1,0.02193,NA,0.004,NA,14-Apr-17,,,,,,0.1823985408116735,2017-04-14,anar-p3-l2,2,1.474,0.737,0.227,255,,FALSE,250.25466893039047
870,non_plot,ANAR,3,3,1.25,1,0.02191,NA,0.0036,NA,14-Apr-17,,,,,,0.1643085349155637,2017-04-14,anar-p3-l3,1,1.385,1.385,0.213,254.997,,FALSE,269.45525291828795
871,non_plot,ANAR,4,1,1.25,1,0.02013,NA,0.0038,NA,14-Apr-17,,,,,,0.18877297565822157,2017-04-14,anar-p4-l1,1,1.122,1.122,0.173,254.996,,FALSE,90.92382495948137
872,non_plot,ANAR,4,2,1.25,1,0.02387,NA,0.0043,NA,14-Apr-17,,,,,,0.18014243820695436,2017-04-14,anar-p4-l2,1,1.262,1.262,0.194,255,,FALSE,89.63068181818181
873,non_plot,ANAR,4,3,0.75,0.75,0.00941,NA,0.0019,NA,14-Apr-17,,,,,,0.20191285866099895,2017-04-14,anar-p4-l3,1,0.477,0.477,0.073,255,,FALSE,71.08792846497765
874,non_plot,ANAR,5,1,1.25,1,0.01396,NA,0.002,NA,14-Apr-17,,,,,,0.14326647564469913,2017-04-14,anar-p5-l1,1,0.817,0.817,0.126,254.994,,FALSE,72.23695844385499
875,non_plot,ANAR,5,2,1.25,0.75,0.01327,NA,0.0019,NA,14-Apr-17,,,,,,0.14318010550113036,2017-04-14,anar-p5-l2,1,0.773,0.773,0.119,254.929,,FALSE,137.05673758865248
876,non_plot,ANAR,5,3,1.25,0.75,0.01242,NA,0.0019,NA,14-Apr-17,,,,,,0.15297906602254427,2017-04-14,anar-p5-l3,1,0.726,0.726,0.112,254.994,,FALSE,116.53290529695023
877,non_plot,ANAR,6,1,1.5,1,0.02092,NA,0.0044,NA,14-Apr-17,,,,,,0.21032504780114722,2017-04-14,anar-p6-l1,2,1.158,0.579,0.178,254.998,,FALSE,91.75911251980982
878,non_plot,ANAR,6,2,1.5,1.25,0.03204,NA,0.0062,NA,14-Apr-17,,,,,,0.19350811485642946,2017-04-14,anar-p6-l2,2,1.588,0.794,0.244,254.871,,FALSE,193.42265529841657
879,non_plot,ANAR,6,3,1.1,0.75,0.01216,NA,0.0024,NA,14-Apr-17,,,,,,0.19736842105263155,2017-04-14,anar-p6-l3,1,0.639,0.639,0.098,254.736,,FALSE,100.47169811320755
880,non_plot,ANAR,7,1,1.25,1,0.02223,NA,0.0027,NA,14-Apr-17,,,,,,0.12145748987854252,2017-04-14,anar-p7-l1,1,0.952,0.952,0.146,254.966,,FALSE,63.89261744966443
881,non_plot,ANAR,7,2,1.1,1,0.01318,NA,0.0028,NA,14-Apr-17,,,,,,0.212443095599393,2017-04-14,anar-p7-l2,1,0.756,0.756,0.116,254.994,,FALSE,35.79545454545455
882,non_plot,ANAR,7,3,1,0.75,0.01318,NA,0.003,NA,14-Apr-17,,,,,,0.2276176024279211,2017-04-14,anar-p7-l3,1,0.636,0.636,0.098,254.684,,FALSE,78.7128712871287
883,non_plot,ANAR,8,1,1.1,0.75,0.01098,NA,0.0025,NA,14-Apr-17,,,,,,0.22768670309653916,2017-04-14,anar-p8-l1,1,0.617,0.617,0.095,255,,FALSE,114.04805914972273
884,non_plot,ANAR,8,2,1,0.75,0.00974,NA,0.0019,NA,14-Apr-17,,,,,,0.19507186858316222,2017-04-14,anar-p8-l2,1,0.551,0.551,0.085,254.759,,FALSE,98.74551971326166
885,non_plot,ANAR,8,3,1,0.75,0.00724,NA,0.0019,NA,14-Apr-17,,,,,,0.26243093922651933,2017-04-14,anar-p8-l3,1,0.488,0.488,0.075,255,,FALSE,87.29874776386403
1975,non_plot,LASE,2,1,10,2,0.19451,NA,0.0325,NA,10-May-17,,27,16,12,,0.16708652511439,2017-05-10,lase-p2-l1,3,11.378,3.793,1.766,254.784,,FALSE,1025.045045045045
1976,non_plot,LASE,2,2,11.4,2.6,0.31041,NA,0.0507,NA,10-May-17,,,,,,0.16333236686962405,2017-05-10,lase-p2-l2,3,14.433,4.811,2.24,254.562,,FALSE,759.6315789473684
1977,non_plot,LASE,2,3,11.5,4.5,0.4886,NA,0.0705,NA,10-May-17,,,,,,0.14428980761358984,2017-05-10,lase-p2-l3,2,18.856,9.428,2.927,250.375,,FALSE,992.4210526315791
1978,non_plot,LASE,3,1,12,4,0.65016,NA,0.0869,NA,10-May-17,,23,22,5,,0.13365940691522088,2017-05-10,lase-p3-l1,1,19.006,19.006,2.95,254.652,,FALSE,2088.5714285714284
1979,non_plot,LASE,3,2,11,4.3,0.63336,NA,0.0779,NA,10-May-17,,,,,,0.12299482127068333,2017-05-10,lase-p3-l2,1,18.61,18.61,2.889,254.934,,FALSE,2045.054945054945
1980,non_plot,LASE,3,3,9,4,0.41,NA,0.0495,NA,10-May-17,,,,,,0.12073170731707318,2017-05-10,lase-p3-l3,1,13.977,13.977,2.169,254.847,,FALSE,1941.25
1981,non_plot,LASE,8,1,8,2.2,0.2846,NA,0.0381,NA,10-May-17,,18,17,8,,0.13387210119465917,2017-05-10,lase-p8-l1,1,9.899,9.899,1.536,254.981,,FALSE,1374.861111111111
1982,non_plot,LASE,8,2,9.8,2,0.3344,NA,0.0485,NA,10-May-17,,,,,,0.14503588516746413,2017-05-10,lase-p8-l2,3,13.016,4.339,2.02,252.915,,FALSE,1093.781512605042
1983,non_plot,LASE,8,3,NA,NA,NA,NA,NA,NA,10-May-17,,,,,,NA,2017-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,non_plot,LASE,5,1,8.5,2.1,0.28351,NA,0.0436,NA,10-May-17,,23,22,4,,0.15378646255863992,2017-05-10,lase-p5-l1,4,11.408,2.852,1.771,254.581,,FALSE,564.7524752475248
1985,non_plot,LASE,5,2,8,2,0.28933,NA,0.0427,NA,10-May-17,,,,,,0.14758234541872603,2017-05-10,lase-p5-l2,1,9.861,9.861,1.531,254.454,,FALSE,488.1683168316832
1986,non_plot,LASE,5,3,9.1,2.2,0.34009,NA,0.0463,NA,10-May-17,,,,,,0.13614043341468435,2017-05-10,lase-p5-l3,1,13.541,13.541,2.102,254.876,,FALSE,394.78134110787175
1987,non_plot,LASE,1,1,11,2,0.2525,NA,0.0361,NA,10-May-17,,20,13,2,,0.14297029702970296,2017-05-10,lase-p1-l1,3,13.447,4.482,2.087,253.836,,FALSE,392.0408163265306
1988,non_plot,LASE,1,2,12,2,0.33919,NA,0.0455,NA,10-May-17,,,,,,0.13414310563401044,2017-05-10,lase-p1-l2,2,13.639,6.819,2.117,254.922,,FALSE,510.82397003745314
1989,non_plot,LASE,1,3,10,2.5,0.33911,NA,0.0444,NA,10-May-17,,,,,,0.13093096635310075,2017-05-10,lase-p1-l3,2,13.89,6.945,2.156,254.975,,FALSE,520.2247191011236
1990,non_plot,LASE,4,1,12,3,0.37328,NA,0.0535,NA,10-May-17,,25,23,15,,0.14332404629232748,2017-05-10,lase-p4-l1,2,15.803,7.902,2.453,254.425,,FALSE,513.0844155844156
1991,non_plot,LASE,4,2,12,4.5,0.62959,NA,0.0899,NA,10-May-17,,,,,,0.1427913403961308,2017-05-10,lase-p4-l2,3,22.595,7.532,3.507,254.507,,FALSE,1867.3553719008264
1992,non_plot,LASE,4,3,12,4,0.56232,NA,0.0776,NA,10-May-17,,,,,,0.13799971546450418,2017-05-10,lase-p4-l3,4,17.758,4.439,2.756,253.943,,FALSE,901.4213197969543
1993,non_plot,LASE,6,1,12,2.5,0.30315,NA,0.0484,NA,10-May-17,,20,17,11,,0.15965693551047336,2017-05-10,lase-p6-l1,1,14.983,14.983,2.326,254.921,,FALSE,355.0473933649289
1994,non_plot,LASE,6,2,13,4,0.47805,NA,0.0782,NA,10-May-17,,,,,,0.1635812153540425,2017-05-10,lase-p6-l2,2,20.983,10.491,3.257,251.818,,FALSE,1008.798076923077
1995,non_plot,LASE,6,3,11,4,0.51852,NA,0.0782,NA,10-May-17,,,,,,0.15081385481755769,2017-05-10,lase-p6-l3,2,19.129,9.565,2.969,254.71,,FALSE,690.57761732852
1996,non_plot,LASE,7,1,8,1.5,0.12407,NA,0.0201,NA,10-May-17,,14,10,4,,0.16200531957765776,2017-05-10,lase-p7-l1,2,6.255,3.128,0.971,254.942,,FALSE,425.51020408163265
1997,non_plot,LASE,7,2,9,2,0.20081,NA,0.0245,NA,10-May-17,,,,,,0.12200587620138441,2017-05-10,lase-p7-l2,3,8.997,2.999,1.396,253.626,,FALSE,408.9545454545455
1998,non_plot,LASE,7,3,8,2.5,0.24869,NA,0.033,NA,10-May-17,,,,,,0.1326953234951144,2017-05-10,lase-p7-l3,1,8.996,8.996,1.396,254.954,,FALSE,817.8181818181819
1999,non_plot,AVFA,1,1,14,1,0.12854,NA,0.0307,NA,10-May-17,,58,8,8,,0.2388361599502101,2017-05-10,avfa-p1-l1,4,7.109,1.777,1.103,254.937,,FALSE,292.5514403292181
2000,non_plot,AVFA,1,2,15,1,0.14693,NA,0.0404,NA,10-May-17,,,,,,0.27496086571836925,2017-05-10,avfa-p1-l2,4,8.253,2.063,1.281,254.963,,FALSE,247.8378378378378
2001,non_plot,AVFA,1,3,15,1,0.16406,NA,0.0477,NA,10-May-17,,,,,,0.29074728757771545,2017-05-10,avfa-p1-l3,4,8.482,2.12,1.317,254.798,,FALSE,340.6425702811245
2002,non_plot,AVFA,2,1,11,1,0.09053,NA,0.0179,NA,10-May-17,,50,7,7,,0.197724511211753,2017-05-10,avfa-p2-l1,3,4.82,1.607,0.748,254.905,,FALSE,248.4536082474227
