species,height
Bowlesia incana,12
Bowlesia incana,16
Bowlesia incana,10
Bowlesia incana,29
Bowlesia incana,31
Bowlesia incana,37
Bowlesia incana,28
Bowlesia incana,27
Bowlesia incana,32
Bowlesia incana,31
Bowlesia incana,29
Bowlesia incana,68
Bowlesia incana,13
Bowlesia incana,21
Bowlesia incana,8
Bowlesia incana,8
Bowlesia incana,15
Bowlesia incana,12
Bowlesia incana,22
Bowlesia incana,29
Bowlesia incana,29
Bowlesia incana,36
Bowlesia incana,33
Bowlesia incana,41
Bowlesia incana,53
Bowlesia incana,38
Bowlesia incana,49
Bowlesia incana,24
Bowlesia incana,22
Bowlesia incana,20
Bowlesia incana,25
Galium aparine,33
Galium aparine,41
Galium aparine,36
Galium aparine,26
Galium aparine,26
Galium aparine,31
Galium aparine,43
Galium aparine,45
Galium aparine,50
Galium aparine,30
Galium aparine,42
Galium aparine,58
Galium aparine,38
Galium aparine,34
Galium aparine,45
Galium aparine,45
Galium aparine,52
Galium aparine,94
Galium aparine,74
Galium aparine,35
Galium aparine,62
Galium aparine,24
Galium aparine,26
Galium aparine,58
Galium aparine,54
Galium aparine,25
Galium aparine,25
Galium aparine,29
Galium aparine,31
Galium aparine,45
Galium aparine,42
Galium aparine,68
Galium aparine,36
Galium aparine,43
Galium aparine,42
Galium aparine,53
Galium aparine,74
Galium aparine,38
Galium aparine,37
Galium aparine,24
Viola pedunculata,12
Viola pedunculata,14
Viola pedunculata,16
Viola pedunculata,16
Viola pedunculata,17
Viola pedunculata,11
Viola pedunculata,13
Viola pedunculata,12
Viola pedunculata,10
Viola pedunculata,10
Viola pedunculata,7
Viola pedunculata,8
Viola pedunculata,13
Viola pedunculata,11
Viola pedunculata,8
Viola pedunculata,6
Viola pedunculata,6
Viola pedunculata,6
Viola pedunculata,8
Viola pedunculata,9
Viola pedunculata,8
Viola pedunculata,7
Viola pedunculata,18
Viola pedunculata,20
Viola pedunculata,26
Viola pedunculata,18
Viola pedunculata,23
Viola pedunculata,26
Viola pedunculata,9
Viola pedunculata,10
Viola pedunculata,12
Viola pedunculata,20
Viola pedunculata,10
Viola pedunculata,12
Viola pedunculata,9
Viola pedunculata,9
Viola pedunculata,16
Viola pedunculata,17
Viola pedunculata,10
Viola pedunculata,7
Claytonia perfoliata,15
Claytonia perfoliata,14
Claytonia perfoliata,11
Claytonia perfoliata,18
Claytonia perfoliata,12
Claytonia perfoliata,15
Claytonia perfoliata,12
Claytonia perfoliata,9
Claytonia perfoliata,10
Claytonia perfoliata,8
Claytonia perfoliata,17
Claytonia perfoliata,22
Claytonia perfoliata,20
Claytonia perfoliata,21
Claytonia perfoliata,19
Claytonia perfoliata,17
Claytonia perfoliata,16
Claytonia perfoliata,19
Claytonia perfoliata,13
Claytonia perfoliata,9
Claytonia perfoliata,19
Claytonia perfoliata,12
Claytonia perfoliata,17
Claytonia perfoliata,18
Claytonia perfoliata,10
Claytonia perfoliata,17
Claytonia perfoliata,21
Claytonia perfoliata,19
Claytonia perfoliata,17
Claytonia perfoliata,15
Claytonia perfoliata,15
Claytonia perfoliata,12
Claytonia perfoliata,14
Claytonia perfoliata,10
Claytonia perfoliata,18
Claytonia perfoliata,20
Claytonia perfoliata,27
Claytonia perfoliata,25
Claytonia perfoliata,25
Claytonia perfoliata,20
Trifolium albopurpureum,19
Trifolium albopurpureum,28
Trifolium albopurpureum,25
Trifolium albopurpureum,15
Trifolium albopurpureum,13
Trifolium albopurpureum,26
Trifolium albopurpureum,20
Trifolium albopurpureum,20
Trifolium albopurpureum,19
Trifolium albopurpureum,21
Trifolium albopurpureum,15
Trifolium albopurpureum,23
Trifolium albopurpureum,28
Trifolium albopurpureum,20
Trifolium albopurpureum,22
Trifolium albopurpureum,21
Trifolium albopurpureum,26
Trifolium albopurpureum,20
Trifolium albopurpureum,22
Trifolium albopurpureum,36
Trifolium albopurpureum,34
Trifolium albopurpureum,18
Trifolium albopurpureum,22
Trifolium albopurpureum,21
Trifolium albopurpureum,20
Trifolium albopurpureum,22
Trifolium albopurpureum,20
Trifolium albopurpureum,18
Trifolium albopurpureum,23
Trifolium albopurpureum,23
Trifolium albopurpureum,15
Trifolium albopurpureum,15
Trifolium albopurpureum,13
Trifolium albopurpureum,23
Trifolium albopurpureum,26
Trifolium albopurpureum,28
Trifolium albopurpureum,23
Trifolium albopurpureum,23
Trifolium albopurpureum,18
Trifolium albopurpureum,22
Lupinus bicolor,15
Lupinus bicolor,22
Lupinus bicolor,18
Lupinus bicolor,9
Lupinus bicolor,27
Lupinus bicolor,23
Lupinus bicolor,31
Lupinus bicolor,21
Lupinus bicolor,23
Lupinus bicolor,21
Lupinus bicolor,16
Lupinus bicolor,14
Lupinus bicolor,20
Lupinus bicolor,17
Lupinus bicolor,15
Lupinus bicolor,21
Lupinus bicolor,14
Lupinus bicolor,14
Lupinus bicolor,9
Lupinus bicolor,17
Lupinus bicolor,19
Lupinus bicolor,12
Lupinus bicolor,21
Lupinus bicolor,20
Lupinus bicolor,16
Lupinus bicolor,23
Lupinus bicolor,15
Lupinus bicolor,17
