Name,Count,Total Area,Average Size,%Area,Mean,
755-vuma-p5-l2,1,0.303,0.303,0.287,254.985,
755-vuma-p5-l3,1,0.178,0.178,0.169,255,
756-brma-p1-l1,1,0.694,0.694,0.402,254.967,
756-brma-p1-l2,1,0.46,0.46,0.267,254.821,
756-brma-p1-l3,1,0.995,0.995,0.577,254.867,
756-brma-p2-l1,1,0.497,0.497,0.288,254.816,
756-brma-p2-l2,1,0.661,0.661,0.384,254.703,
756-brma-p2-l3,1,0.511,0.511,0.297,254.92,
756-brma-p3-l1,3,1.291,0.43,0.749,254.949,
756-brma-p3-l2,1,1.314,1.314,0.762,254.624,
756-brma-p3-l3,1,1.321,1.321,0.766,254.737,
756-brma-p4-l1,1,1.015,1.015,0.711,254.59,
756-brma-p4-l2,1,0.699,0.699,0.489,254.941,
756-brma-p4-l3,1,1.249,1.249,0.874,254.696,
756-homu-p1-l1,1,0.73,0.73,0.511,254.894,
756-homu-p1-l2,1,0.541,0.541,0.379,254.983,
756-homu-p1-l3,1,0.667,0.667,0.467,254.746,
756-vuma-p1-l1,1,0.174,0.174,0.239,254.895,
756-vuma-p1-l2,1,0.246,0.246,0.338,254.907,
756-vuma-p1-l3,1,0.109,0.109,0.15,254.833,
756-vuma-p2-l1,1,0.489,0.489,0.672,254.981,
756-vuma-p2-l2,1,0.422,0.422,0.58,254.318,
756-vuma-p2-l3,1,0.419,0.419,0.576,254.738,
756-vuma-p3-l1,1,0.362,0.362,0.498,254.067,
756-vuma-p3-l2,1,0.41,0.41,0.563,254.989,
756-vuma-p3-l3,1,0.384,0.384,0.527,254.976,
756-vuma-p4-l1,1,0.513,0.513,0.379,254.955,
756-vuma-p4-l2,1,0.221,0.221,0.163,254.979,
756-vuma-p4-l3,1,0.75,0.75,0.554,254.854,
756-vuma-p5-l1,1,0.204,0.204,0.15,254.978,
756-vuma-p5-l2,1,0.124,0.124,0.092,254.963,
756-vuma-p5-l3,1,0.238,0.238,0.176,254.789,
757-homu-p1-l1,1,1.07,1.07,1.466,255,
757-homu-p1-l2,1,0.991,0.991,1.358,255,
757-homu-p1-l3,1,1.152,1.152,1.579,255,
757-homu-p2-l1,2,1.471,0.736,2.015,254.943,
757-homu-p2-l2,2,1.546,0.773,2.118,254.979,
757-homu-p2-l3,2,1.339,0.669,1.834,254.962,
757-homu-p3-l1,1,0.841,0.841,1.152,254.908,
757-homu-p3-l2,1,0.773,0.773,1.059,254.994,
757-homu-p3-l3,1,0.633,0.633,0.867,254.957,
757-homu-p4-l1,2,1.723,0.862,2.262,254.955,
757-homu-p4-l2,2,1.085,0.542,1.424,255,
757-homu-p4-l3,1,0.961,0.961,1.262,254.895,
757-homu-p5-l1,1,0.943,0.943,1.237,255,
757-homu-p5-l2,1,0.92,0.92,1.207,254.99,
757-homu-p5-l3,1,0.747,0.747,0.98,254.988,
757-vuma-p1-l1,2,0.159,0.08,0.123,254.981,
757-vuma-p1-l2,1,0.19,0.19,0.147,255,
757-vuma-p1-l3,1,0.173,0.173,0.134,254.974,
757-vuma-p2-l1,4,0.869,0.217,0.672,254.917,
757-vuma-p2-l2,3,1.042,0.347,0.805,254.996,
757-vuma-p2-l3,1,0.187,0.187,0.145,254.927,
757-vuma-p3-l1,1,0.291,0.291,0.225,255,
757-vuma-p3-l2,1,0.177,0.177,0.137,254.974,
757-vuma-p3-l3,1,0.174,0.174,0.135,254.607,
757-vuma-p4-l1,1,0.374,0.374,0.199,255,
757-vuma-p4-l2,1,0.371,0.371,0.198,255,
